race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016012308010710,2016,08,8,8,8,8,8,8,0,0,0
2016012308010711,2016,08,12,12,12,12,12,12,0,0,0
2016012308010712,2016,08,11,11,11,11,11,11,0,0,0
2016012406010801,2016,06,16,16,16,16,16,16,0,0,0
2016012406010802,2016,06,16,16,16,16,16,16,0,0,0
2016012406010803,2016,06,16,16,16,16,16,16,0,0,0
2016012406010804,2016,06,13,13,13,13,13,13,0,0,0
2016012406010805,2016,06,16,16,16,16,16,16,0,0,0
2016012406010806,2016,06,14,14,14,14,14,14,0,0,0
2016012406010807,2016,06,13,13,13,13,13,13,0,0,0
2016012406010808,2016,06,16,16,16,16,16,16,0,0,0
2016012406010809,2016,06,16,16,16,15,16,15,0,0,1
2016012406010810,2016,06,14,14,14,14,14,14,0,0,0
2016012406010811,2016,06,16,16,16,16,16,16,0,0,0
2016012406010812,2016,06,12,12,12,12,12,12,0,0,0
2016012407010401,2016,07,16,16,16,16,16,16,0,0,0
2016012407010402,2016,07,14,14,14,14,14,14,0,0,0
2016012407010403,2016,07,16,16,16,16,16,16,0,0,0
2016012407010404,2016,07,14,14,14,14,14,14,0,0,0
2016012407010405,2016,07,18,18,18,18,18,18,0,0,0
2016012407010406,2016,07,16,16,16,16,16,16,0,0,0
2016012407010407,2016,07,15,15,15,15,15,15,0,0,0
2016012407010408,2016,07,16,16,16,16,16,16,0,0,0
2016012407010409,2016,07,16,16,16,16,16,16,0,0,0
2016012407010410,2016,07,18,18,18,18,18,18,0,0,0
2016012407010411,2016,07,12,12,12,12,12,12,0,0,0
2016012407010412,2016,07,17,17,17,17,17,17,0,0,0
2016012408010801,2016,08,16,16,16,16,16,16,0,0,0
2016012408010802,2016,08,16,16,16,16,16,16,0,0,0
2016012408010803,2016,08,16,16,16,16,16,16,0,0,0
2016012408010804,2016,08,9,9,9,9,9,9,0,0,0
2016012408010805,2016,08,16,16,16,16,16,16,0,0,0
2016012408010806,2016,08,16,16,16,15,16,15,0,0,1
2016012408010807,2016,08,10,10,10,10,10,10,0,0,0
2016012408010808,2016,08,12,12,12,12,12,12,0,0,0
2016012408010809,2016,08,14,14,14,14,14,14,0,0,0
2016012408010810,2016,08,12,12,12,12,12,12,0,0,0
2016012408010811,2016,08,15,15,15,15,15,15,0,0,0
2016012408010812,2016,08,15,15,15,15,15,15,0,0,0
2016013005010101,2016,05,16,16,16,16,16,16,0,0,0
2016013005010102,2016,05,16,16,16,16,16,16,0,0,0
2016013005010103,2016,05,16,16,16,16,16,16,0,0,0
2016013005010104,2016,05,16,16,16,16,16,16,0,0,0
2016013005010105,2016,05,16,16,16,16,16,16,0,0,0
2016013005010106,2016,05,13,13,13,13,13,13,0,0,0
2016013005010107,2016,05,14,14,14,14,14,14,0,0,0
2016013005010108,2016,05,16,16,16,16,16,16,0,0,0
2016013005010109,2016,05,16,16,16,16,16,16,0,0,0
2016013005010110,2016,05,11,11,11,10,11,10,0,0,1
2016013005010111,2016,05,12,12,12,12,12,12,0,0,0
2016013005010112,2016,05,16,16,16,15,16,15,0,0,1
2016013007010501,2016,07,16,16,16,16,16,16,0,0,0
2016013007010502,2016,07,16,16,16,15,16,15,0,0,1
2016013007010503,2016,07,16,16,16,16,16,16,0,0,0
2016013007010504,2016,07,11,11,11,11,11,11,0,0,0
2016013007010505,2016,07,18,18,18,18,18,18,0,0,0
2016013007010506,2016,07,16,16,16,15,16,15,0,0,1
2016013007010507,2016,07,16,16,16,16,16,16,0,0,0
