race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2017021908020806,2017,08,15,15,15,14,15,14,0,0,1
2017022609010206,2017,09,16,16,16,15,16,15,0,0,1
2017030409010310,2017,09,15,15,15,14,15,14,0,0,1
2017030506020404,2017,06,12,12,12,11,12,11,0,11,1
2017030509010407,2017,09,9,9,9,8,9,8,0,8,1
2017030509010408,2017,09,9,9,9,8,9,8,0,8,1
2017031107020110,2017,07,11,11,11,10,11,10,0,0,1
2017031209010610,2017,09,10,10,10,9,10,9,0,0,1
2017031809010706,2017,09,13,13,13,12,13,12,0,1,1
2017031909010802,2017,09,16,16,16,15,16,15,0,15,1
2017032006020807,2017,06,16,16,16,15,16,15,0,15,1
2017032506030106,2017,06,16,16,16,15,16,15,0,0,1
2017032509020112,2017,09,13,13,13,12,13,12,0,0,1
2017032606030202,2017,06,16,16,16,15,16,15,0,0,1
2017040109020311,2017,09,16,16,16,15,16,15,0,0,1
2017040206030407,2017,06,9,9,9,8,9,8,0,0,1
2017040206030410,2017,06,10,10,10,8,10,8,0,0,1
2017040209020402,2017,09,15,15,15,14,15,14,0,0,1
2017040809020510,2017,09,18,18,18,17,18,17,0,17,1
2017040909020611,2017,09,18,18,18,17,18,17,0,0,1
2017041506030709,2017,06,10,10,10,9,10,9,0,0,1
2017041606030808,2017,06,11,11,11,10,11,10,0,0,1
2017041609020803,2017,09,16,16,16,15,16,15,0,15,1
2017042208030104,2017,08,17,17,17,16,17,16,0,0,1
2017043004010205,2017,04,15,15,15,14,15,14,0,14,1
2017050604010305,2017,04,16,16,16,15,16,15,0,15,1
2017050605020504,2017,05,18,18,18,17,18,17,0,0,1
2017050608030502,2017,08,16,16,16,15,16,15,0,0,1
2017050705020603,2017,05,16,16,16,15,16,15,0,0,1
2017051305020702,2017,05,16,16,16,15,16,15,0,0,1
2017051404010608,2017,04,16,16,16,15,16,15,0,0,1
2017051404010610,2017,04,15,15,15,14,15,14,0,0,1
2017052008030901,2017,08,16,16,16,15,16,15,0,0,1
2017052104010812,2017,04,15,15,15,14,15,14,0,0,1
