target,feature_set,importance_type,feature,importance,sample_rows
place,market_history,mean_abs_shap,horse_last3_avg_time,0.048019565681,5000
place,market_history,mean_abs_shap,horse_last3_place_paid_rate,0.023440106518,5000
place,market_history,mean_abs_shap,horse_last3_ren_rate,0.030541972805,5000
place,market_history,mean_abs_shap,horse_last3_top3_rate,0.016593167177,5000
place,market_history,mean_abs_shap,horse_last3_win_rate,0.06464594527,5000
place,market_history,mean_abs_shap,horse_last5_avg_finish,0.032848194088,5000
place,market_history,mean_abs_shap,horse_last5_avg_haron_l3,0.064355406519,5000
place,market_history,mean_abs_shap,horse_last5_avg_ninki,0.095247439374,5000
place,market_history,mean_abs_shap,horse_last5_avg_time,0.027834713829,5000
place,market_history,mean_abs_shap,horse_last5_place_paid_rate,0.005350134823,5000
place,market_history,mean_abs_shap,horse_last5_ren_rate,0.018050092966,5000
place,market_history,mean_abs_shap,horse_last5_top3_rate,0.008962821101,5000
place,market_history,mean_abs_shap,horse_last5_win_rate,0.031613565044,5000
place,market_history,mean_abs_shap,horse_past_starts,0.024787657429,5000
place,market_history,mean_abs_shap,horse_surface_past_starts,0.023791020193,5000
place,market_history,mean_abs_shap,horse_surface_top3_rate,0.120336946523,5000
place,market_history,mean_abs_shap,horse_surface_win_rate,0.035808536914,5000
place,market_history,mean_abs_shap,jockey_dist_band_past_starts,0.010487854715,5000
place,market_history,mean_abs_shap,jockey_dist_band_top3_rate,0.047296007953,5000
place,market_history,mean_abs_shap,jockey_dist_band_win_rate,0.006673507732,5000
place,market_history,mean_abs_shap,jockey_jyo_past_starts,0.013693462055,5000
place,market_history,mean_abs_shap,jockey_jyo_top3_rate,0.05145790075,5000
place,market_history,mean_abs_shap,jockey_jyo_win_rate,0.016109251144,5000
place,market_history,mean_abs_shap,jockey_past_starts,0.020850012837,5000
place,market_history,mean_abs_shap,jockey_ren_rate,0.026480676214,5000
place,market_history,mean_abs_shap,jockey_top3_rate,0.019081216728,5000
place,market_history,mean_abs_shap,jockey_win_rate,0.014364750882,5000
place,market_history,mean_abs_shap,place_bet_available_by_rule,0.0,5000
place,market_history,mean_abs_shap,place_rank_limit,0.000875164795,5000
place,market_history,mean_abs_shap,trainer_past_starts,0.034825166629,5000
place,market_history,mean_abs_shap,trainer_ren_rate,0.009614697771,5000
place,market_history,mean_abs_shap,trainer_top3_rate,0.022702319232,5000
place,market_history,mean_abs_shap,trainer_win_rate,0.025290401478,5000
win,market_aware,mean_abs_shap,BaTaijyu,0.112400403532,5000
win,market_aware,mean_abs_shap,Barei,0.045336656029,5000
