race_id,data_split,expected_runner_count,unique_entry_id_count,invalid_actual_count,missing_odds_count,invalid_odds_count,missing_prediction_count,actual_positive_count,valid_runner_count,duplicate_entry_id_count,market_exclusion_reason,is_complete_market_race,valid_odds_runner_count,valid_prediction_runner_count
2026013105010103,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010104,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010105,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010106,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010107,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010108,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010109,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010110,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010111,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010112,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020101,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020102,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020103,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020104,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020105,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020106,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020107,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020108,latest_holdout,10,10,0,10,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020109,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020110,latest_holdout,8,8,0,8,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020111,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026013108020112,latest_holdout,17,17,0,17,0,0,1,0,0,missing_odds_runner,false,0,0
2026013110010301,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026013110010302,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026013110010303,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013110010304,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026013110010305,latest_holdout,10,10,0,10,0,0,1,0,0,missing_odds_runner,false,0,0
2026013110010306,latest_holdout,18,18,0,5,0,0,1,13,0,missing_odds_runner,false,13,13
2026020705010301,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020705010302,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020705010303,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020705010304,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026020705010305,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020705010306,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020705010307,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020301,latest_holdout,10,10,0,10,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020302,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020303,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020304,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020305,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020306,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020307,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020308,latest_holdout,8,8,0,8,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020309,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020310,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020311,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020708020312,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010501,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010502,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010503,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010504,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010505,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010506,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010507,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010508,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010509,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010510,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010511,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020710010512,latest_holdout,17,17,0,17,0,0,1,0,0,missing_odds_runner,false,0,0
2026020810010601,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026020810010602,latest_holdout,17,17,0,17,0,0,1,0,0,missing_odds_runner,false,0,0
2026020810010603,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026020810010605,latest_holdout,9,9,0,2,0,0,1,7,0,missing_odds_runner,false,7,7
2026022105010703,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010704,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010705,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010706,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010707,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010708,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010709,latest_holdout,7,7,0,7,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010710,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010711,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026022105010712,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
