data_split,bin_type,requested_bin_count,actual_bin_count,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
validation,fixed_width,10,9,2,0.20001544338,0.299998189776,7916,0.246968478465,0.270212228398,0.023243749933,place,market_history
validation,fixed_width,10,9,3,0.300014435472,0.3999863296,4979,0.346338321168,0.380196826672,0.033858505504,place,market_history
validation,fixed_width,10,9,4,0.400014233661,0.499987800722,3194,0.447133174298,0.462742642455,0.015609468156,place,market_history
validation,fixed_width,10,9,5,0.500024483657,0.599988145416,1863,0.544977056892,0.592592592593,0.0476155357,place,market_history
validation,fixed_width,10,9,6,0.600014486332,0.699991758656,885,0.643186157904,0.661016949153,0.017830791249,place,market_history
validation,fixed_width,10,9,7,0.700093134063,0.799636482237,347,0.739574203539,0.806916426513,0.067342222974,place,market_history
validation,fixed_width,10,9,8,0.80209637702,0.887880558592,60,0.835785344911,0.883333333333,0.047547988423,place,market_history
validation,quantile,10,10,0,0.001668343315,0.037555430526,4676,0.023895071836,0.020958083832,-0.002936988003,place,market_history
validation,quantile,10,10,1,0.037556118326,0.06305453099,4675,0.050163702541,0.046417112299,-0.003746590241,place,market_history
validation,quantile,10,10,2,0.063071790918,0.091683551526,4675,0.077377692446,0.081497326203,0.004119633757,place,market_history
validation,quantile,10,10,3,0.091683840306,0.123654527341,4675,0.107353525868,0.110374331551,0.003020805683,place,market_history
validation,quantile,10,10,4,0.123667788454,0.16073091546,4675,0.141656641544,0.145240641711,0.003584000167,place,market_history
validation,quantile,10,10,5,0.160732451131,0.20622340131,4675,0.182602453079,0.207272727273,0.024670274193,place,market_history
validation,quantile,10,10,6,0.206250936505,0.261382281863,4675,0.232768745607,0.256898395722,0.024129650115,place,market_history
validation,quantile,10,10,7,0.261403550375,0.334034765861,4675,0.295672349831,0.321497326203,0.025824976372,place,market_history
validation,quantile,10,10,8,0.334047288315,0.447636781375,4675,0.386654665776,0.414545454545,0.02789078877,place,market_history
validation,quantile,10,10,9,0.447643521356,0.887880558592,4676,0.558275388311,0.592814371257,0.034538982947,place,market_history
latest_holdout,fixed_width,10,8,0,0.000948663439,0.09994318999,16826,0.033243632286,0.036015690004,0.002772057718,win,market_aware
latest_holdout,fixed_width,10,8,1,0.100020388589,0.199986993059,2990,0.140548243269,0.154515050167,0.013966806899,win,market_aware
latest_holdout,fixed_width,10,8,2,0.200037267748,0.299410452724,996,0.242383801235,0.268072289157,0.025688487922,win,market_aware
latest_holdout,fixed_width,10,8,3,0.300112157431,0.399778487401,310,0.342898133737,0.322580645161,-0.020317488575,win,market_aware
latest_holdout,fixed_width,10,8,4,0.40026286391,0.495003000483,90,0.446259566436,0.422222222222,-0.024037344214,win,market_aware
latest_holdout,fixed_width,10,8,5,0.500592581946,0.597201717256,50,0.538690717609,0.48,-0.058690717609,win,market_aware
latest_holdout,fixed_width,10,8,6,0.600432796639,0.67779654245,12,0.636781221134,0.75,0.113218778866,win,market_aware
latest_holdout,fixed_width,10,8,7,0.705281333848,0.744836276146,2,0.725058804997,0.5,-0.225058804997,win,market_aware
latest_holdout,quantile,10,10,0,0.000948663439,0.006341137569,2128,0.004270763719,0.003759398496,-0.000511365223,win,market_aware
latest_holdout,quantile,10,10,1,0.006341954,0.011569935672,2128,0.008835190621,0.007988721805,-0.000846468817,win,market_aware
latest_holdout,quantile,10,10,2,0.011570736314,0.018245503134,2127,0.014817673312,0.014104372355,-0.000713300957,win,market_aware
latest_holdout,quantile,10,10,3,0.018248431562,0.026210684459,2128,0.022043888884,0.023966165414,0.00192227653,win,market_aware
latest_holdout,quantile,10,10,4,0.026212963121,0.036491930861,2127,0.03103990221,0.029619181946,-0.001420720264,win,market_aware
latest_holdout,quantile,10,10,5,0.036495872714,0.051429828326,2128,0.043515959851,0.048402255639,0.004886295788,win,market_aware
latest_holdout,quantile,10,10,6,0.051435891748,0.072180194824,2127,0.06110948834,0.067700987306,0.006591498966,win,market_aware
latest_holdout,quantile,10,10,7,0.072197577141,0.103234358092,2128,0.086583065477,0.103853383459,0.017270317981,win,market_aware
latest_holdout,quantile,10,10,8,0.103282788301,0.165470585374,2127,0.13112344931,0.139633286319,0.008509837008,win,market_aware
latest_holdout,quantile,10,10,9,0.165557474317,0.744836276146,2128,0.256311356688,0.269266917293,0.012955560605,win,market_aware
