data_split,bin_type,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
latest_holdout,quantile,0,0.0009449264452156856,0.007932526393791365,2128,0.005313250599055904,0.0042293233082706765,-0.0010839272907852276,win,market_history
latest_holdout,quantile,1,0.00793440534441189,0.013221155106891811,2128,0.010506678909821687,0.011278195488721804,0.000771516578900117,win,market_history
latest_holdout,quantile,2,0.01322144271720212,0.019657470202362283,2127,0.01637768841739269,0.013164080865068171,-0.0032136075523245197,win,market_history
latest_holdout,quantile,3,0.019659214049053735,0.027137949257544796,2128,0.023220877015934015,0.01832706766917293,-0.004893809346761084,win,market_history
latest_holdout,quantile,4,0.027143963225725938,0.03764062679189437,2127,0.03208477801486468,0.03385049365303244,0.0017657156381677627,win,market_history
latest_holdout,quantile,5,0.03764686641595349,0.05196551932856485,2128,0.044508860481009334,0.049342105263157895,0.004833244782148562,win,market_history
latest_holdout,quantile,6,0.05197550342014841,0.07274441102342369,2128,0.06161515202279441,0.07518796992481203,0.013572817902017614,win,market_history
latest_holdout,quantile,7,0.07274804099587068,0.10372965988509221,2127,0.08690402816432886,0.11095439586271744,0.024050367698388572,win,market_history
latest_holdout,quantile,8,0.10374997533200876,0.1611117984022491,2128,0.12932951917940297,0.14473684210526316,0.015407322925860195,win,market_history
latest_holdout,quantile,9,0.16112493416683052,0.7380336547225937,2127,0.24237021236232087,0.24729666196520922,0.00492644960288835,win,market_history
validation,fixed_width,0,0.000782871387963937,0.09998359901855762,35918,0.03569453870024148,0.035692410490561835,-2.1282096796457206e-6,win,market_aware
validation,fixed_width,1,0.10000875914739622,0.19997617496820708,7485,0.13947129807951733,0.1531062124248497,0.013634914345332372,win,market_aware
validation,fixed_width,2,0.20004501774991923,0.2999687565627887,2248,0.24075628026008694,0.25756227758007116,0.016805997319984223,win,market_aware
validation,fixed_width,3,0.3000087125923977,0.39923915260271087,735,0.33970004275250326,0.3564625850340136,0.016762542281510362,win,market_aware
validation,fixed_width,4,0.40013702980244326,0.4996997451570839,227,0.4449215680425872,0.45374449339207046,0.008822925349483257,win,market_aware
validation,fixed_width,5,0.5013579074980191,0.5992203969277135,94,0.5491956636756764,0.6702127659574468,0.12101710228177043,win,market_aware
