data_split,bin,rows,avg_pred_probability,actual_rate,actual_minus_pred,target,feature_set
latest_holdout,1,2990,0.14054824326868384,0.15451505016722408,0.01396680689854024,win,market_aware
latest_holdout,2,996,0.24238380123509354,0.2680722891566265,0.02568848792153297,win,market_aware
latest_holdout,3,310,0.3428981337366988,0.3225806451612903,-0.020317488575408493,win,market_aware
latest_holdout,4,90,0.4462595664361822,0.4222222222222222,-0.024037344213959977,win,market_aware
latest_holdout,5,50,0.5386907176092303,0.48,-0.05869071760923028,win,market_aware
latest_holdout,6,12,0.6367812211338266,0.75,0.11321877886617338,win,market_aware
latest_holdout,7,2,0.7250588049973318,0.5,-0.22505880499733177,win,market_aware
validation,0,14482,0.056840850751948106,0.05296229802513465,-0.003878552726813457,place,market_free
validation,1,12589,0.1461055883797809,0.15148145206132338,0.00537586368154247,place,market_free
validation,2,8128,0.2466429401444019,0.2679625984251969,0.021319658280794962,place,market_free
validation,3,5140,0.3463286275605714,0.37042801556420235,0.024099388003630928,place,market_free
validation,4,3262,0.44600751187627347,0.46689147762109134,0.02088396574481788,place,market_free
validation,5,1911,0.5442989773381203,0.5782312925170068,0.03393231517888651,place,market_free
validation,6,895,0.6432834733261343,0.6793296089385474,0.0360461356124131,place,market_free
validation,7,301,0.7346343655460856,0.8106312292358804,0.07599686368979475,place,market_free
validation,8,44,0.8233562511713953,0.8636363636363636,0.04028011246496832,place,market_free
test,0,15850,0.056427741531325404,0.056277602523659306,-0.00015013900766609745,place,market_free
test,1,12761,0.14602550373627735,0.16425045059164642,0.018224946855369073,place,market_free
test,2,7887,0.24575295974396805,0.26321795359452266,0.01746499385055461,place,market_free
test,3,5024,0.3454278281550835,0.3801751592356688,0.03474733108058531,place,market_free
test,4,3106,0.4456653958242664,0.47907276239536384,0.03340736657109744,place,market_free
test,5,1751,0.5459213469798755,0.5870930896630497,0.04117174268317425,place,market_free
test,6,831,0.6423171223386951,0.6690734055354994,0.026756283196804342,place,market_free
test,7,258,0.7382294719689247,0.7906976744186046,0.05246820244967987,place,market_free
test,8,29,0.8301690331430068,0.896551724137931,0.06638269099492422,place,market_free
latest_holdout,0,7772,0.054866601049373714,0.050051466803911475,-0.0048151342454622395,place,market_free
latest_holdout,1,5539,0.14564495479237857,0.15724860083047482,0.011603646038096244,place,market_free
latest_holdout,2,3189,0.2469869495365058,0.2910003135779241,0.04401336404141831,place,market_free
latest_holdout,3,2056,0.3471233904716545,0.384727626459144,0.037604235987489465,place,market_free
latest_holdout,4,1330,0.4461115671570058,0.49097744360902257,0.044865876452016784,place,market_free
latest_holdout,5,799,0.5442043246090246,0.574468085106383,0.03026376049735846,place,market_free
latest_holdout,6,435,0.6433753641304262,0.6528735632183909,0.009498199087964676,place,market_free
latest_holdout,7,147,0.7379850049295026,0.7959183673469388,0.057933362417436185,place,market_free
latest_holdout,8,9,0.8187276046004199,0.8888888888888888,0.0701612842884689,place,market_free
