target,feature_set,feature,importance
place,market_aware,trainer_ren_rate,0.9930515514484441
place,market_aware,trainer_top3_rate,0.9518117247714023
place,market_aware,trainer_win_rate,0.9442652776067696
place,market_aware,horse_last3_avg_time,0.9399210593357755
place,market_aware,Barei,0.897093657354027
place,market_aware,horse_last3_place_paid_rate,0.8497816083731626
place,market_aware,SexCD,0.8431048561144682
place,market_aware,horse_jockey_top3_rate,0.8233207076216883
place,market_aware,Umaban,0.8139396928896988
place,market_aware,fuku_odds_high,0.784324254310458
place,market_aware,horse_baba_win_rate,0.7615719936520603
place,market_aware,CourseKubunCD,0.7163525999565723
place,market_aware,jockey_win_rate,0.7154646291078768
place,market_aware,jockey_past_starts,0.712861868826727
place,market_aware,fuku_ninki,0.7127389415095694
place,market_aware,horse_surface_past_starts,0.7061517456373891
place,market_aware,TrackCD,0.7057398458169455
place,market_aware,TenkoCD,0.6699429863415419
place,market_aware,jockey_jyo_past_starts,0.657525133739258
place,market_aware,horse_dist_band_top3_rate,0.6333934628164827
place,market_aware,RaceNum,0.6259297250850309
place,market_aware,jockey_jyo_win_rate,0.6256523494923797
place,market_aware,Wakuban,0.606010699996721
place,market_aware,JyokenCD2,0.5693404716813101
place,market_aware,jockey_dist_band_win_rate,0.555911604951826
place,market_aware,horse_jyo_top3_rate,0.5490889438045011
place,market_aware,horse_past_starts,0.5225539205414585
place,market_aware,horse_last3_top3_rate,0.5212846741161777
place,market_aware,TanVote,0.5204039494127283
place,market_aware,horse_last3_ren_rate,0.502906883173545
place,market_aware,Futan,0.47683677770329796
place,market_aware,Nichiji,0.4669399380296456
place,market_aware,horse_last5_win_rate,0.452235953698516
place,market_aware,FukuVote,0.44442318542019305
place,market_aware,YoubiCD,0.4426505811070715
place,market_aware,horse_futan_diff_last,0.4398010710579964
place,market_aware,horse_jockey_past_starts,0.4285684085356038
place,market_aware,horse_jyo_win_rate,0.40474516312280934
place,market_aware,JyokenCD3,0.3988583976015795
place,market_aware,jockey_dist_band_past_starts,0.3867756569840094
place,market_aware,SyubetuCD,0.37570852131878946
place,market_aware,horse_baba_past_starts,0.37304648806125934
place,market_aware,place_votes_available,0.3659310835232559
place,market_aware,horse_baba_top3_rate,0.35287216042653324
place,market_aware,place_odds_available,0.33694822213965997
place,market_aware,win_votes_available,0.3327936771508768
place,market_aware,ZogenSa,0.329625168455262
place,market_aware,horse_last5_place_paid_rate,0.32424740005900243
place,market_aware,horse_body_weight_diff_last,0.31845547413072045
place,market_aware,horse_last5_ren_rate,0.2894022481749
place,market_aware,Kaiji,0.27474301884519386
place,market_aware,ZogenFugo,0.23060760051808876
place,market_aware,horse_dist_band_past_starts,0.22140659091672907
place,market_aware,JyokenCD1,0.21616260491757136
place,market_aware,horse_jockey_win_rate,0.20713840541672845
place,market_aware,win_odds_available,0.20386403894055385
place,market_aware,horse_jyo_past_starts,0.19517509664859756
place,market_aware,Year,0.17757768532034388
place,market_aware,horse_dist_band_win_rate,0.17141455603730907
place,market_aware,JyokenCD4,0.11785381508399705
place,market_aware,place_rank_limit,0.019618739142040296
place,market_aware,SibaBabaCD,0.0
place,market_aware,DirtBabaCD,0.0
place,market_aware,place_bet_available_by_rule,0.0
